Region,Country_Id,Offset_Minutes,isDST,StartDate,EndDate,GMT_StartDate,GMT_EndDate,IsECMLocation,ServerName,Last_Update_User_Id,Last_Update_Timestamp
Domestic,US,-300,0,2008-12-01 00:00:00.000,2009-03-08 01:59:59.997,2008-12-01 05:00:00.000,2009-03-08 06:59:59.997,1,Domestic_ECM,dbo,2009-08-04 08:28:18.880
Domestic,US,-240,1,2009-03-08 02:00:00.000,2009-11-01 01:59:59.997,2009-03-08 06:00:00.000,2009-11-01 05:59:59.997,1,Domestic_ECM,dbo,2009-08-04 08:28:18.880
Domestic,US,-300,0,2009-11-01 02:00:00.000,2010-03-14 01:59:59.997,2009-11-01 07:00:00.000,2010-03-14 06:59:59.997,1,Domestic_ECM,dbo,2009-08-04 08:28:18.880
Domestic,US,-240,1,2010-03-14 02:00:00.000,2010-11-07 01:59:59.997,2010-03-14 06:00:00.000,2010-11-07 05:59:59.997,1,Domestic_ECM,dbo,2009-08-04 08:28:18.880
Domestic,US,-300,0,2010-11-07 02:00:00.000,2011-03-13 01:59:59.997,2010-11-07 07:00:00.000,2011-03-13 06:59:59.997,1,Domestic_ECM,dbo,2009-08-04 08:28:18.880
Domestic,US,-240,1,2011-03-13 02:00:00.000,2011-11-06 01:59:59.997,2011-03-13 06:00:00.000,2011-11-06 05:59:59.997,1,Domestic_ECM,dbo,2009-08-04 08:28:18.000
Domestic,US,-300,0,2011-11-06 02:00:00.000,2012-03-11 01:59:59.997,2011-11-06 07:00:00.000,2012-03-11 06:59:59.997,1,Domestic_ECM,vmali2,2011-10-14 00:00:00.000
Domestic,US,-240,1,2012-03-11 02:00:00.000,2012-11-04 01:59:59.997,2012-03-11 06:00:00.000,2012-11-04 05:59:59.997,1,Domestic_ECM,vmali2,2011-10-14 00:00:00.000
Domestic,US,-300,0,2012-11-04 02:00:00.000,2013-03-10 01:59:59.997,2012-11-04 07:00:00.000,2013-03-10 06:59:59.997,1,Domestic_ECM,vmali2,2011-10-14 00:00:00.000
Domestic,US,-240,1,2013-03-10 02:00:00.000,2013-11-02 01:59:59.997,2013-03-10 06:00:00.000,2013-11-02 05:59:59.997,1,Domestic_ECM,vmali2,2011-10-14 00:00:00.000
Domestic,US,-300,0,2013-11-03 02:00:00.000,2014-03-09 01:59:59.997,2013-11-03 07:00:00.000,2014-03-09 06:59:59.997,1,Domestic_ECM,vmali2,2011-10-14 00:00:00.000
Domestic,US,-240,1,2014-03-09 02:00:00.000,2014-11-02 01:59:59.997,2014-03-09 06:00:00.000,2014-11-02 05:59:59.997,1,Domestic_ECM,vmali2,2011-10-14 00:00:00.000
Domestic,US,-300,0,2014-11-02 02:00:00.000,2015-03-08 01:59:59.997,2014-11-02 07:00:00.000,2015-03-08 06:59:59.997,1,Domestic_ECM,ctreyn,2014-03-27 09:49:51.470
Domestic,US,-240,1,2015-03-08 02:00:00.000,2015-11-01 01:59:59.997,2015-03-08 06:00:00.000,2015-11-01 05:59:59.997,1,Domestic_ECM,ctreyn,2014-03-27 09:49:57.653
Domestic,US,-300,0,2015-11-01 02:00:00.000,2016-03-13 01:59:59.997,2015-11-01 07:00:00.000,2016-03-13 06:59:59.997,1,Domestic_ECM,ctreyn,2014-03-27 09:50:05.837
Domestic,US,-240,1,2016-03-13 02:00:00.000,2016-11-06 01:59:59.997,2016-03-13 06:00:00.000,2016-11-06 05:59:59.997,1,Domestic_ECM,ctreyn,2014-03-27 09:50:10.963
Domestic,US,-300,0,2016-11-06 02:00:00.000,2017-03-12 01:59:59.997,2016-11-06 07:00:00.000,2017-03-12 06:59:59.997,1,Domestic_ECM,ctreyn,2014-03-27 09:50:16.227
Domestic,US,-240,1,2017-03-12 02:00:00.000,2017-11-05 01:59:59.997,2017-03-12 06:00:00.000,2017-11-05 05:59:59.997,1,Domestic_ECM,ctreyn,2014-03-27 09:50:21.440
Domestic,US,-300,0,2017-11-05 02:00:00.000,2018-03-11 01:59:59.997,2017-11-05 07:00:00.000,2018-03-11 06:59:59.997,1,Domestic_ECM,cbharat,2017-11-04 23:29:59.393
Domestic,US,-240,1,2018-03-11 02:00:00.000,2018-11-05 01:59:59.997,2018-03-11 06:00:00.000,2018-11-05 05:59:59.997,1,Domestic_ECM,sinamda,2018-03-11 10:08:27.590
Domestic,US,-300,0,2018-11-05 02:00:00.000,2019-03-10 01:59:59.997,2018-11-05 07:00:00.000,2019-03-10 06:59:59.997,1,Domestic_ECM,sinamda,2018-11-04 12:00:32.333